Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2000_0622_12:28:28  174 152  51735  4376  68.01 207.47  67.22 257.11   0.57
WIC_2000_0622_13:05:16  175 142  52060  4116  68.79 219.16  70.15 265.97   1.72
WIC_2000_0623_02:18:56  210 155  51245  4364  62.45 301.90  70.04  29.32  23.51
WIC_2000_0623_05:06:34  202 173  49926  4808  56.50 278.86  67.13 353.16  23.83
WIC_2000_0623_13:07:29  138 162  36391 10553  73.65 179.77  69.44 231.88  23.48
WIC_2000_0623_17:55:42  179 151  51993  5145  68.38 123.83  62.54 194.10   2.15
WIC_2000_0624_06:05:59  168 188  49859  6826  50.64 282.65  61.30 358.64   1.16
WIC_2000_0624_08:00:28  202 167  52043  5633  59.80 237.28  65.18 291.61  22.58
WIC_2000_0624_16:46:24   92 183  29213  6295  72.13 129.33  66.18 197.30   0.84
WIC_2000_0624_18:20:23  168 157  41506  4237  72.12  81.42  66.92 156.38   0.13
WIC_2000_0624_20:29:10  201 142  50230  4802  73.43  36.60  69.23 120.47   0.03
WIC_2000_0624_21:46:51  215 136  51995  6338  70.64 354.82  69.51  86.47  23.03
WIC_2000_0625_20:33:32   89 199  21571  5078  71.30  20.13  67.98 105.99  23.13
WIC_2000_0626_00:03:58  176 161  47575  4737  67.70  11.40  64.91  96.23   1.90
WIC_2000_0626_00:59:09  225 135  50308  7834  60.40 288.07  70.15   8.44  20.90
WIC_2000_0626_02:51:36  205 168  51985  6124  58.44 307.62  64.95  34.63   0.37
WIC_2000_0626_12:10:12  163 186  35479  7514  66.00 175.79  60.95 235.33  22.82
WIC_2000_0626_12:53:07  186 156  40569 14543  69.34 138.53  63.29 205.92  21.53
WIC_2000_0627_01:05:34  237 182  22431 12033  52.72 281.81  63.36 357.54  20.26
WIC_2000_0627_02:51:46  215 163  38889  6207  57.74 272.02  68.33 342.00  20.86
WIC_2000_0627_05:31:12  199 172  50457  3568  56.29 263.36  66.34 328.40  22.57
WIC_2000_0627_09:16:04  196 165  48358  3937  62.69 246.88  69.94 301.67   0.50
WIC_2000_0627_18:03:59  205 113  44576 13041  71.13   9.66  68.57  98.01  19.90
WIC_2000_0627_22:27:42  201 151  50980  5759  69.68  41.01  65.41 121.00   1.99
WIC_2000_0628_10:40:02  181 154  51582  6057  68.50 207.58  67.74 256.73  22.83
WIC_2000_0628_20:04:50  113 196  25834  8527  71.20  46.30  66.73 126.30  24.00
WIC_2000_0628_20:49:46  225 121  33221 18451  64.13 330.62  66.24  61.04  20.39
WIC_2000_0630_10:03:03  225 175  40657  5292  61.52 239.82  67.39 293.52   0.70
WIC_2000_0630_19:54:21  190 147  51868  6914  71.69  75.87  66.60 151.44   1.49
WIC_2000_0701_06:34:44  140 198  39496  2537  56.40 276.86  67.08 349.92   1.02
WIC_2000_0701_10:13:27  189 153  51924  3797  68.11 198.17  65.82 249.96  21.95
WIC_2000_0702_03:32:24  220 170  46823  2198  62.35 315.16  67.37  44.97   1.69
WIC_2000_0702_09:38:54   70 216  27737  1889  63.18 236.90  68.39 288.94   0.00
WIC_2000_0702_23:19:13    2 217  21264  4138  72.06  19.73  68.77 106.44   1.83
WIC_2000_0703_06:16:07  192 170  51419  5503  59.29 264.37  69.32 329.29  23.34
WIC_2000_0703_17:45:32  170 150  49702  4487  71.33 101.67  65.84 174.12   0.56
WIC_2000_0703_18:36:39  170 141  51398  4311  73.96 104.72  68.26 176.50   1.75
