Inst.  Date     Time      X   Y  Dist. Counts   Geog.Pos.    Geomag.Pos.    MLT
WIC_2001_0414_06:52:45  187 135  39383  3444  56.79 254.51  65.61 315.16  23.09
WIC_2001_0414_08:51:18  155 114  48621  3010  68.96 200.70  67.09 251.09  20.77
WIC_2001_0414_11:51:11  184 143  50978  3035  68.89 184.49  64.87 239.57  22.91
WIC_2001_0414_20:06:20  125  89  31596  2097  70.76  27.40  67.03 111.04  22.89
WIC_2001_0414_23:04:06  152  99  48565  2705  65.81 332.07  67.74  63.58  22.65
WIC_2001_0415_02:55:07  189  88  49331  4196  61.10 254.85  69.82 313.86  19.10
WIC_2001_0415_12:46:17  152 118  46743  4777  73.88 146.82  68.00 209.45  21.83
WIC_2001_0416_00:01:23  159  36  26185  3741  58.87 316.64  63.47  44.73  22.34
WIC_2001_0416_09:43:52  216 168  38588  3598  65.82 229.73  69.42 278.95  23.47
WIC_2001_0416_14:55:04  126  83  32633  4370  72.97  94.14  67.49 167.55  21.05
WIC_2001_0417_08:03:41  165 126  48760  1547  66.49 226.92  69.47 275.50  21.63
WIC_2001_0417_19:12:39  136 122  31310  5243  69.70  66.23  64.87 142.33   0.11
WIC_2001_0418_00:51:56  192 135  51391  4027  65.47 338.15  66.39  68.47   0.76
WIC_2001_0418_02:56:39  209 150  46490  7310  59.07 315.32  63.96  43.45   1.11
WIC_2001_0418_15:13:01  182 133  51283  2059  71.84 121.75  65.99 191.25  22.90
WIC_2001_0419_05:30:02  205 130  51230  3748  57.06 262.15  66.95 326.36  22.50
WIC_2001_0419_07:14:18  217 134  47140  3459  65.54 236.64  70.59 286.71  21.56
WIC_2001_0419_14:28:09  135 116  35851  2331  73.40 130.33  67.43 197.46  22.64
WIC_2001_0419_22:04:01  201 141  44630  2760  73.11  23.23  69.60 110.15   0.80
WIC_2001_0420_04:06:22  195  83  30810  6966  55.94 269.91  66.52 338.75  21.95
WIC_2001_0420_09:15:01  179 152  51626  2712  64.36 233.28  68.76 283.96  23.36
WIC_2001_0420_13:01:56  197 164  40664  3579  73.81 190.70  70.73 238.81   0.04
WIC_2001_0420_18:09:07  126 102  29027  3862  72.70  67.38  67.68 144.58  23.17
WIC_2001_0420_22:38:54  162  90  51172  1813  64.69 322.29  68.35  53.75  21.62
WIC_2001_0421_03:02:39  205  98  41962  3906  62.79 264.43  72.63 328.31  20.21
WIC_2001_0421_10:04:15  157 156  41891  2663  65.68 229.52  69.23 278.86  23.81
WIC_2001_0422_02:48:31  170 142  50760  2846  62.61 321.41  66.39  51.49   1.53
WIC_2001_0422_05:07:34  205 139  50573  4169  54.61 275.25  65.37 347.34  23.54
WIC_2001_0422_07:49:04  218 159  40101  8720  58.42 244.62  65.37 301.21  23.11
WIC_2001_0423_05:32:20  193 131  45740  4365  51.93 267.51  62.49 335.41  23.15
WIC_2001_0423_20:54:53  155 114  49572  1994  70.85  21.84  67.43 106.86  23.48
WIC_2001_0424_07:45:36  172 107  31100  5443  61.06 224.53  63.62 277.35  21.47
WIC_2001_0425_12:30:08  130 149  33556  1865  69.47 189.41  66.06 242.53  23.77
WIC_2001_0426_04:27:29  180 119  44657  1844  57.54 275.88  68.18 348.33  22.95
WIC_2001_0426_06:21:59  177 134  50648  3609  59.04 257.74  68.29 319.04  22.88
WIC_2001_0426_20:43:17  157  97  50842  3116  69.23   0.79  67.43  89.49  22.15
WIC_2001_0428_05:21:08  205 149  44423 12011  63.26 278.24  73.52 352.43   0.11
WIC_2001_0428_13:11:54  137 130  43744  5729  69.42 161.92  63.76 223.40  23.17
WIC_2001_0428_15:28:54  167 112  50933  4860  66.23  99.90  61.01 172.68  21.88
WIC_2001_0429_02:58:31  202 102  41254  6503  51.54 286.65  61.80   4.75  22.59
WIC_2001_0502_07:07:25  193 139  50456  2026  60.39 246.62  67.69 302.74  22.54
WIC_2001_0502_16:09:51  123 127  40022  2336  73.57 119.64  67.69 188.90  23.71
WIC_2001_0503_05:34:06  179 132  34007  2553  56.64 263.50  66.69 328.55  22.74
WIC_2001_0503_06:29:17  171 111  40599  1829  61.63 238.58  67.24 291.98  21.20
WIC_2001_0503_10:06:04  159 151  51582  2224  63.00 224.43  65.53 275.94  23.68
WIC_2001_0503_21:01:01  158  95  42334  3088  68.67   5.34  66.42  92.41  22.68
WIC_2001_0505_07:21:34  206 140  47607  2769  60.69 240.25  66.67 294.57  22.23
WIC_2001_0505_08:51:32  194 169  40437  3521  63.92 242.71  70.30 295.38  23.79
WIC_2001_0505_18:20:37  156 112  51040  2902  71.35  58.00  66.59 136.03  22.87
WIC_2001_0506_08:19:42  156 155  50678  5351  59.93 251.30  68.11 309.32   0.19
WIC_2001_0506_21:23:33  135 119  47745  3165  72.56  25.94  68.89 111.59   0.34
WIC_2001_0506_22:10:36  136 135  49942  2727  71.98  39.64  67.71 121.55   1.77
WIC_2001_0507_01:47:26  205 126  48467  2855  64.07 311.55  69.81  42.07  23.96
WIC_2001_0507_12:52:40  154 120  50811  5007  71.25 151.16  65.36 214.47  22.25
WIC_2001_0507_16:04:58  195 134  48278  6119  69.40 110.63  63.83 182.28  23.16
WIC_2001_0508_00:42:56  157 126  42746  3110  67.21 337.88  68.25  69.71   0.79
WIC_2001_0508_02:17:01  169 109  49056  2880  58.99 294.24  68.00  17.36  22.78
WIC_2001_0508_07:38:10  193 172  42648  5515  57.10 256.83  66.28 318.38   0.10
WIC_2001_0508_13:40:45  108 154  34206  4930  69.53 172.42  64.47 230.70   0.08
WIC_2001_0508_18:25:02  159  77  51603 10145  68.62   3.06  66.58  90.64  19.94
WIC_2001_0508_21:51:38  193 135  42687  4757  69.94  19.53  66.65 104.30   0.32
WIC_2001_0509_04:35:06  189 110  39184  5796  52.09 260.67  61.92 325.25  21.55
WIC_2001_0509_08:34:25  172 146  51600  5472  61.57 236.74  66.79 289.89  23.14
WIC_2001_0509_12:05:07  190 135  42725  5489  70.63 167.06  65.30 226.17  22.27
WIC_2001_0510_08:00:47  162 145  31056  8300  59.73 227.50  62.95 281.12  21.99
WIC_2001_0510_08:35:31  148 151  35928  3291  61.73 229.83  65.44 282.25  22.65
WIC_2001_0510_10:50:29  146 118  47932  5198  67.46 177.10  62.63 235.39  21.69
WIC_2001_0510_23:56:31  149 137  43100  3606  67.90   1.52  65.97  88.83   1.34
WIC_2001_0511_20:59:11  183 147  42862  4556  70.58  51.45  65.99 130.14   1.20
WIC_2001_0512_04:27:42  179 148  43392  4174  55.99 288.03  65.95   7.48   0.25
WIC_2001_0512_06:14:04  156 153  49868  3149  57.66 274.66  68.29 346.33   0.58
WIC_2001_0512_12:44:45  225 149  32183 15270  67.17 154.96  61.13 219.59  22.45
WIC_2001_0512_19:07:51  144 116  45478  7555  69.95  51.07  65.40 129.46  23.30
WIC_2001_0512_21:20:49  159 125  51276  6708  67.71  26.39  64.02 107.95   0.08
WIC_2001_0513_01:30:24  215 110  42555  9696  54.99 296.51  63.71  19.45  22.19
WIC_2001_0513_08:28:15  153 136  40845  3784  63.40 222.73  65.57 274.01  21.98
WIC_2001_0513_10:04:23  133 119  48167  4382  71.82 193.50  69.43 242.64  21.44
WIC_2001_0513_12:54:12  167 104  51298  8085  74.43 122.13  68.49 190.52  20.66
WIC_2001_0513_15:27:38  185 144  44002  8695  72.43 137.60  66.44 203.61  23.87
WIC_2001_0513_22:54:07  177  99  42011  8394  59.93 334.81  60.98  62.10  22.55
WIC_2001_0514_02:24:50  192 120  51594  6683  54.66 295.64  63.49  18.19  22.96
WIC_2001_0515_01:43:13  155  79  29667  5188  59.82 283.52  70.03   1.04  21.17
WIC_2001_0515_02:36:22  161  85  37120  3626  58.87 270.70  69.35 339.71  20.58
WIC_2001_0515_07:04:21  179 138  51587  2916  58.86 244.52  65.78 300.86  22.37
WIC_2001_0515_10:22:48  192 118  42846  5748  72.58 172.91  67.75 228.49  20.79
WIC_2001_0515_16:09:07  101 124  31671  6974  74.54 101.17  68.85 173.49  22.64
WIC_2001_0515_17:30:55  137 101  41646  4264  73.12  55.69  68.32 135.18  21.84
WIC_2001_0515_18:54:46  143  96  47950  8618  70.11  26.95  66.41 110.15  21.79
WIC_2001_0516_08:13:12  134 168  44078  4375  57.84 253.57  66.48 313.44   0.36
WIC_2001_0516_23:28:15  150 112  48191  3022  65.61 335.62  66.93  66.47  23.41
WIC_2001_0517_02:46:44  187 130  50681  2843  62.58 300.77  70.37  27.88  23.95
WIC_2001_0518_00:53:38  151  56  29813  9721  59.48 280.67  69.88 356.31  20.08
WIC_2001_0518_02:27:41  182 100  41655  4024  56.34 278.15  66.99 352.00  21.26
WIC_2001_0518_06:45:29  173 151  51298  2728  58.67 262.13  68.49 325.90  23.73
WIC_2001_0518_21:56:30  180 131  49759  3844  69.60  21.75  66.18 105.72   0.53
WIC_2001_0519_08:12:53  136 144  47580  2539  64.51 239.01  70.11 290.37  22.81
WIC_2001_0519_19:40:59  107 125  30702  6040  73.84  40.88  69.46 124.12  23.53
WIC_2001_0520_10:19:17  105 158  34259  2880  68.32 209.94  67.97 258.77  22.75
WIC_2001_0520_14:47:17  147 117  51554  4470  77.25 123.08  71.18 189.77  22.28
WIC_2001_0522_04:50:29  163 170  32784  2077  55.62 273.98  66.34 345.29  23.13
WIC_2001_0522_21:21:22  142 118  46697  7041  73.71  14.68  70.76 104.65  23.89
WIC_2001_0523_10:35:53  137 128  41943  2606  72.02 182.82  68.02 235.66  21.46
WIC_2001_0524_01:14:17  171  86  44102  4721  57.55 279.53  68.10 354.29  20.27
WIC_2001_0527_15:18:35  126 130  47035  3061  75.65 127.61  69.64 194.09  23.02
WIC_2001_0528_03:29:46  146 106  35555  4949  64.89 253.90  73.25 310.17  19.44
WIC_2001_0528_08:53:04  166 144  51089  3181  65.12 225.02  67.75 274.86  22.43
WIC_2001_0528_17:15:05  130  88  31554  9687  68.57  32.60  64.61 113.49  20.01
WIC_2001_0528_18:57:21  152  88  43417  6198  68.86   2.72  66.86  90.59  20.53
WIC_2001_0601_10:13:46  123 152  50113  2376  66.70 218.19  67.91 267.18  23.20
WIC_2001_0602_01:10:46  155 149  51220  2943  60.89 331.52  62.62  59.79   0.57
WIC_2001_0602_03:31:59  186 157  49675  5192  54.97 297.03  63.60  20.16   0.13
WIC_2001_0602_11:51:57   98 165  37671  3302  68.99 184.51  64.98 239.51  22.90
WIC_2001_0602_17:39:52  153 141  49903  5136  72.37 109.74  66.69 181.00   1.03
WIC_2001_0603_01:55:45  166 144  36443  3199  57.41 291.33  66.88  12.70  22.11
WIC_2001_0603_18:55:32  119 142  49593  3394  72.22  79.49  67.04 154.74   0.77
WIC_2001_0604_05:59:18  131 189  33207  2568  60.29 258.61  69.61 319.89  22.54
WIC_2001_0604_22:48:51  147 111  47947  5191  65.68 319.61  69.86  51.86  21.79
WIC_2001_0605_03:12:54  198 149  48223  2750  56.35 291.61  65.83  12.86  23.33
WIC_2001_0605_10:47:51  105 161  35997  5994  70.71 191.12  67.56 242.59  22.09
WIC_2001_0606_03:55:52  160 149  49773  3898  56.13 275.92  66.83 348.40  22.40
WIC_2001_0606_16:41:56  114 138  44724  3864  74.68  95.14  69.06 168.49  22.91
WIC_2001_0606_20:35:17  152 138  51083  4513  71.48  46.06  67.00 126.29   0.57
WIC_2001_0607_08:56:47  126 170  50813  2194  58.27 238.38  63.91 293.75  23.73
WIC_2001_0607_11:07:48  147 156  50644  2844  64.81 204.93  63.49 257.64  23.40
WIC_2001_0609_04:46:39  155 170  51571  3827  53.54 284.70  63.93   2.06   0.14
WIC_2001_0609_07:48:49  160 185  44339  3650  54.21 258.15  63.65 321.14   0.41
WIC_2001_0609_14:32:39  123 148  36923  6568  70.66 110.42  65.05 181.90  21.45
WIC_2001_0609_19:00:46  159 129  51571  4765  69.71  39.26  65.49 119.60  22.50
WIC_2001_0610_05:13:21   94 178  39971  3090  55.70 258.40  65.15 321.10  21.85
WIC_2001_0610_06:53:37   81 141  47923  3894  65.67 222.15  67.69 271.67  20.19
WIC_2001_0610_21:30:16   91 106  49066  6743  66.36 324.04  69.72  56.77  20.83
WIC_2001_0611_11:11:40   38 154  47361  2864  72.22 202.41  70.66 248.81  22.86
WIC_2001_0611_12:08:59   65 132  50062  4009  76.42 151.60  70.71 210.40  21.19
WIC_2001_0611_23:59:51   87 146  40497  3235  63.06 315.80  67.95  46.07  22.53
WIC_2001_0612_01:05:21  108 124  46062  4465  58.00 284.58  68.21   2.47  20.64
WIC_2001_0613_02:58:11   78 199  28634  5125  57.29 283.96  67.60   1.38  22.30
WIC_2001_0613_05:56:11   77 142  47529  3689  63.77 231.08  67.72 282.07  19.94
WIC_2001_0614_00:18:04  159 131  49341  3661  60.71 306.26  67.51  33.98  22.01
WIC_2001_0615_02:33:22  134 146  51444  6305  56.82 280.48  67.36 355.79  21.53
WIC_2001_0615_07:13:48  161 174  37886  5003  61.22 239.81  67.10 293.70  21.97
WIC_2001_0616_05:46:01   92 172  49528  2716  58.69 259.70  68.21 322.14  22.43
WIC_2001_0616_18:26:04   63 144  43735  3824  76.46  57.89  71.38 139.45  23.15
WIC_2001_0617_09:45:47   59 169  48212  2968  66.28 216.54  67.16 266.11  22.64
WIC_2001_0618_01:36:13   90 165  51365  2517  63.69 326.77  66.47  57.27   0.74
WIC_2001_0618_03:20:38  112 170  50573  3254  59.96 301.61  67.66  27.81   0.40
WIC_2001_0618_05:27:33  143 184  43498  5152  51.93 262.78  62.03 328.35  22.54
WIC_2001_0618_12:21:39   66 172  39291  4907  67.45 152.79  61.38 217.82  21.86
WIC_2001_0618_13:59:54   71 155  47446  5026  69.39 125.76  63.49 195.44  21.84
WIC_2001_0618_19:54:03  116 154  42380  2271  71.70  56.18  66.97 134.70   0.41
WIC_2001_0619_18:40:39   82 137  48243  5232  71.33  29.26  67.51 112.95  21.65
WIC_2001_0620_07:45:18   86 168  43376  2607  65.59 216.28  66.42 266.46  20.66
WIC_2001_0621_05:29:55  149 170  38218  6178  63.58 255.98  72.34 314.23  21.62
WIC_2001_0621_14:35:03   64 153  50919  3677  73.86 139.78  67.89 204.34  22.93
WIC_2001_0625_00:13:31   68 171  34264  3396  63.33 307.54  69.85  36.92  22.10
WIC_2001_0625_04:35:32   66 181  51494  1945  58.99 283.08  69.27   0.19  23.77
WIC_2001_0626_07:05:23   32 189  47722  1438  60.32 255.38  69.17 315.01  23.21
WIC_2001_0626_23:47:06   97 157  51559  3119  63.04 320.10  67.08  50.47  22.57
WIC_2001_0629_10:18:34   53 173  49376  1813  64.98 233.73  69.45 283.95   0.31
WIC_2001_0630_09:31:57   69 198  42527  7662  59.92 241.26  66.14 296.24   0.39
WIC_2001_0630_12:23:54   62 162  51304  4594  71.02 153.63  65.18 216.41  21.76
WIC_2001_0630_13:31:28   75 159  51397  3263  72.03 135.77  66.04 202.43  21.86
WIC_2001_0630_23:36:03   77 184  41607  3825  68.64  17.19  65.47 101.43   1.78
WIC_2001_0701_00:29:16  107 187  46001  4832  64.06 340.66  64.50  69.49   0.49
WIC_2001_0701_04:04:14   82 189  51101  2214  57.13 287.63  67.08   7.07  23.69
WIC_2001_0701_15:47:03   25 161  49509  4091  73.87 141.02  67.92 205.25   0.13
WIC_2001_0701_21:24:54  146 180  39896  3208  69.07  50.61  64.55 128.60   1.45
WIC_2001_0702_04:29:18   97 208  43886  2497  56.98 288.78  66.81   8.79   0.22
WIC_2001_0703_09:16:25   72 190  45394  2883  61.59 245.18  68.56 300.15   0.38
WIC_2001_0703_14:03:03  104 159  49056  3356  73.23 122.00  67.34 190.94  21.55
WIC_2001_0704_15:37:44  102 162  50844  3737  74.38 142.17  68.45 205.70  23.98
WIC_2001_0705_03:34:56  152 199  43556  4832  55.95 272.13  66.62 342.31  21.55
WIC_2001_0705_06:04:23  140 181  51119  3530  62.67 242.88  69.14 296.49  20.96
WIC_2001_0705_17:20:38  104 178  40948  3851  70.97  80.60  65.85 155.39  22.76
WIC_2001_0705_19:05:02  135 146  48632  5928  72.48   6.53  70.20  97.25  20.99
WIC_2001_0705_22:40:02  202 147  49829  5318  61.15 305.47  68.10  33.22  20.30
WIC_2001_0706_10:08:32  112 176  50556  4437  68.45 208.66  67.88 257.62  22.37
WIC_2001_0706_14:51:05  156 171  42372  4676  73.43 138.84  67.46 203.92  23.12
WIC_2001_0707_04:14:17  174 194  46383  1645  59.34 274.13  69.88 345.38  22.40
WIC_2001_0707_13:21:31  122 166  47249  4355  74.32 144.47  68.42 207.41  22.03
WIC_2001_0708_03:48:09  139 197  47984  3128  57.20 278.29  67.81 352.26  22.42
WIC_2001_0708_07:35:27  131 193  49839  2800  57.61 265.69  67.83 331.78   0.79
WIC_2001_0708_08:30:44  135 183  47113  4011  65.28 249.58  72.89 303.50  23.84
WIC_2001_0708_11:16:30  178 205  29512  3164  66.48 216.27  67.31 265.69  23.97
WIC_2001_0708_17:35:55  104 168  46398  4534  72.92 110.94  67.19 181.91   0.86
WIC_2001_0708_20:29:57  137 172  51537  2749  70.44  54.92  65.78 132.95   0.81
WIC_2001_0708_22:43:03  204 177  47210  3930  65.00 339.53  65.67  69.24  22.74
WIC_2001_0709_22:45:36  150 167  48792  3733  67.18 329.00  69.67  62.07  22.30
WIC_2001_0711_01:50:25  137 206  43254  3344  58.25 324.93  61.06  52.54   0.57
WIC_2001_0712_06:43:44  141 195  45304  2259  61.59 241.48  67.81 295.49  21.52
WIC_2001_0712_23:43:57  142 171  51564  2749  70.24  12.79  67.42  99.46   1.73
WIC_2001_0714_04:20:54  187 197  51582  3624  53.78 261.04  63.63 325.45  21.17
WIC_2001_0714_16:48:48  139 170  49339  4154  71.77  95.72  66.36 168.87  22.94
WIC_2001_0715_07:15:28  131 193  49850  1978  58.41 255.92  67.41 316.59  23.44
WIC_2001_0715_21:03:13  153 177  48728  3983  67.97  19.71  64.64 102.87  23.33
WIC_2001_0716_08:29:45  104 214  33681  4280  56.67 244.91  63.71 302.41  23.73
WIC_2001_0716_15:19:13  164 163  48572  3575  70.01 166.93  64.64 226.55   1.07
WIC_2001_0717_02:12:55  197 180  50388  4194  56.98 269.75  67.49 338.38  19.97
WIC_2001_0717_05:02:53  192 205  49884  3170  55.20 269.11  65.77 337.55  22.67
WIC_2001_0717_21:38:31  241 171  39934  4147  72.15 340.79  72.81  77.71  22.22
WIC_2001_0718_05:48:26  162 186  48199  5056  62.99 241.39  69.14 294.44  20.54
WIC_2001_0718_07:55:23  163 177  51578  3988  68.18 231.25  71.98 278.16  21.54
WIC_2001_0719_11:49:20  164 164  51312  3120  74.28 164.81  69.03 221.42  21.53
WIC_2001_0721_23:26:31  210 179  48461  2967  68.72 335.24  70.20  68.99  23.39
WIC_2001_0722_09:04:28  119 176  46974  5083  57.18 250.82  65.35 309.89   0.80
WIC_2001_0722_22:15:22  164 178  42080  3182  68.12 352.61  67.17  82.22  23.10
WIC_2001_0723_00:48:55  186 189  50858  2735  59.13 311.34  64.87  39.17  22.71
WIC_2001_0723_02:02:38  199 195  51549  2374  56.75 296.20  65.49  19.49  22.54
WIC_2001_0723_03:26:35  214 203  49707  1976  55.27 278.97  65.95 353.27  22.12
WIC_2001_0723_13:12:43  158 165  45666  3875  73.05 139.11  67.08 204.38  21.71
WIC_2001_0723_16:23:08  200 164  51507  3747  73.23  75.42  68.03 151.59  21.25
WIC_2001_0724_00:55:39  173 212  28355  3651  58.50 289.68  68.15  10.48  20.90
WIC_2001_0724_05:13:32  173 194  50782  1650  57.22 263.17  67.22 327.90  22.20
WIC_2001_0724_06:53:52  182 189  51321  2555  60.73 246.38  67.97 302.23  22.12
WIC_2001_0724_18:26:28  140 168  48551  4327  69.05  83.47  64.01 157.58   0.24
WIC_2001_0724_19:52:28  158 167  51314  6264  69.53  64.41  64.74 140.67   0.64
WIC_2001_0724_20:33:25  192 173  51585  3539  68.90  25.58  65.25 108.15  23.16
WIC_2001_0725_07:00:31  133 204  41075  3541  51.47 259.41  61.14 323.57  23.65
WIC_2001_0725_10:00:40  147 178  51198  3325  62.12 214.81  62.64 267.68  22.89
WIC_2001_0725_15:38:26  172 202  32755  5782  69.72 108.73  64.18 180.55  22.34
WIC_2001_0726_01:20:32  160 187  51495  3789  56.73 292.18  66.11  13.78  21.50
WIC_2001_0726_03:50:00  157 209  45639  3646  54.54 272.53  65.28 343.01  21.82
WIC_2001_0726_11:45:34   95 165  42712  5915  71.69 167.06  66.42 225.34  21.73
WIC_2001_0726_12:22:25   94 160  45685  5675  73.11 159.82  67.57 219.18  21.91
WIC_2001_0726_19:13:56  147 178  39349  4082  72.26  73.54  67.17 149.63   0.57
WIC_2001_0726_19:58:57  170 182  33787  4303  75.14  48.94  70.41 131.46   0.13
WIC_2001_0727_03:01:19  109 189  47328  2790  57.97 279.27  68.51 353.90  21.76
WIC_2001_0727_07:04:59  124 189  49667  1894  59.40 248.18  67.03 305.33  22.51
WIC_2001_0729_02:22:48  152 195  47962  2190  58.85 295.24  67.69  18.75  22.81
WIC_2001_0729_12:25:17   62 146  48849  4785  68.42 202.84  66.87 253.17   0.23
WIC_2001_0730_06:33:02   97 179  48861  2129  55.96 278.23  66.63 352.11   1.11
WIC_2001_0730_18:07:38   98 162  51229  3370  68.77  82.25  63.75 156.42  23.80
WIC_2001_0730_19:23:24  150 163  51367  5397  68.40  14.17  65.43  98.91  21.35
WIC_2001_0731_13:00:23  163 188  39859  7131  68.38 131.72  62.38 200.78  21.30
WIC_2001_0731_22:23:59  103 168  51010  2654  66.22   5.95  63.80  90.91  23.79
WIC_2001_0731_23:37:42  123 178  51505  3078  62.37 340.02  62.77  67.86  23.47
WIC_2001_0801_00:39:07  142 187  50278  3400  59.78 314.51  64.87  42.92  22.79
WIC_2001_0801_09:29:57   61 170  39259  5211  66.40 213.39  66.68 263.31  22.11
WIC_2001_0801_16:03:02  108 157  46973  3547  71.94 134.05  65.96 201.13   0.19
WIC_2001_0802_05:30:16  105 189  49411  1729  55.38 274.58  66.11 346.26  23.70
WIC_2001_0802_16:38:14   96 154  50270  3933  73.02  88.54  67.64 162.73  22.35
WIC_2001_0803_04:47:39   89 185  42830  2312  60.07 264.83  70.10 329.83  21.91
WIC_2001_0803_07:08:55   79 171  50758  2982  61.10 248.51  68.73 304.86  22.55
WIC_2001_0803_10:09:05  102 170  48922  2164  62.53 216.81  63.47 269.18  23.13
WIC_2001_0803_12:26:14  121 177  38047  3187  67.16 188.15  63.47 243.42  23.60
WIC_2001_0803_20:17:41   61 149  48208  4216  69.47  65.72  64.66 141.79   1.12
WIC_2001_0803_23:09:40  115 167  51235  1872  67.61 351.96  66.71  81.26  23.90
WIC_2001_0804_13:23:57  103 152  51230  2634  72.67 157.82  67.04 218.16  22.85
WIC_2001_0804_14:56:05  125 159  47947  3269  72.77 130.72  66.81 198.09  22.89
WIC_2001_0805_05:59:29  102 196  44656  2894  55.58 265.37  65.85 331.64  23.21
WIC_2001_0805_15:08:42   83 161  48685  4936  68.32 105.21  62.91 177.52  21.72
WIC_2001_0805_18:58:01   97 152  49230  3216  68.14  93.39  62.97 166.62   1.42
WIC_2001_0806_05:31:10   71 180  49089  3909  56.20 262.10  66.11 326.49  22.41
WIC_2001_0806_08:47:43   95 172  50171  3147  60.67 227.01  63.78 280.05  22.55
WIC_2001_0806_18:56:18   90 162  46359  4327  68.06  41.53  63.79 120.46  22.31
WIC_2001_0806_21:52:22  108 166  51545  3448  66.26   4.71  63.95  89.98  23.21
WIC_2001_0807_01:19:07  150 202  41323  2025  58.63 293.73  67.71  16.51  21.66
WIC_2001_0807_09:04:24   68 161  45964  4373  66.02 213.22  66.26 263.49  21.72
WIC_2001_0808_01:01:01  108 178  50788  3243  57.55 297.79  66.00  21.89  21.73
WIC_2001_0808_05:59:54  100 202  40004  3083  56.55 264.10  66.66 329.50  23.08
WIC_2001_0809_04:23:59   57 176  48277  2230  55.54 282.23  66.04 358.45  23.44
WIC_2001_0809_08:50:08   93 165  47799  1752  62.24 233.52  66.75 285.83  22.98
WIC_2001_0809_10:44:45   81 149  38120  2279  62.82 234.52  67.53 286.52   0.86
WIC_2001_0810_06:39:25   42 183  37056  3089  55.24 256.02  64.35 317.81  22.95
WIC_2001_0810_23:31:14   68 157  49479  2950  66.50 348.63  65.96  77.72   0.01
WIC_2001_0812_04:32:24   71 171  50634  3746  57.87 272.31  68.45 342.46  22.52
WIC_2001_0812_06:59:48   75 162  50403  2413  58.84 257.83  68.11 319.26  23.39
WIC_2001_0812_16:37:39   57 148  43499  5039  68.70 106.19  63.26 178.38  23.44
WIC_2001_0812_18:42:30   65 143  50526  5083  70.82  72.69  65.83 148.38  23.93
WIC_2001_0812_22:48:10  118 178  45573  3001  63.73 346.17  63.34  73.72  23.03
WIC_2001_0813_07:16:24   30 155  45468  3574  54.33 261.93  64.27 326.65   0.16
WIC_2001_0813_10:18:35   65 146  51583  2296  64.74 212.50  64.83 263.89  22.94
WIC_2001_0813_12:58:16  101 157  45845  2392  70.29 155.26  64.44 218.07  22.48
WIC_2001_0813_22:34:02   47 142  49192  2777  67.57  24.23  63.98 106.15   0.96
WIC_2001_0814_09:50:11   31 160  33594  5316  67.06 206.40  66.08 257.09  22.04
WIC_2001_0814_14:49:00   66 127  51572  2214  70.90 161.04  65.29 221.78   0.44
WIC_2001_0814_16:08:51  112 146  49907  3485  74.37  89.60  68.86 163.84  21.90
WIC_2001_0814_19:27:21  145 186  33215  2703  70.92  34.42  66.87 116.62  22.59
WIC_2001_0815_01:15:58   72 177  41945  2106  60.37 304.65  67.49  31.86  22.64
WIC_2001_0815_04:36:34   85 169  51552  2632  59.37 261.09  69.04 324.06  21.37
WIC_2001_0815_07:51:02   79 164  45033  1780  61.96 242.93  68.47 297.05  22.77
WIC_2001_0815_18:50:44   75 143  51554  2841  70.66  65.34  65.80 141.94  23.65
WIC_2001_0815_22:35:54  101 160  42441  3930  70.87   5.61  68.65  94.74   0.23
WIC_2001_0817_01:58:43  120 178  47340  1739  60.02 290.98  69.60  12.26  22.02
WIC_2001_0817_10:57:37   32 137  45753  3215  72.18 185.33  68.44 237.17  21.80
WIC_2001_0817_16:25:08   75 157  46554  9148  67.67  97.21  62.46 170.16  22.66
WIC_2001_0818_22:48:00   88 178  35564  1872  66.23   6.68  63.75  91.48   0.21
WIC_2001_0819_08:09:26   25 140  51527  1782  57.85 249.47  65.76 307.78  23.80
WIC_2001_0819_12:39:37   94 160  38287  2489  69.76 160.22  64.05 221.97  22.47
WIC_2001_0820_14:32:18   80 144  49788  3843  71.50 121.79  65.65 191.40  22.23
WIC_2001_0820_15:41:53   95 148  46071  2914  73.82  87.56  68.39 162.03  21.34
WIC_2001_0821_08:02:51   61 156  32937  1499  57.87 260.19  67.49 323.14   0.73
WIC_2001_0821_15:52:10   60 133  49913  3228  70.72 117.05  64.97 187.63  23.24
WIC_2001_0821_18:48:13  100 144  50158  3036  69.21  63.27  64.45 139.54  23.45
WIC_2001_0821_20:55:06  125 165  42346  3471  68.85   3.10  66.81  90.87  22.32
WIC_2001_0822_04:38:15   48 164  44984  3922  56.36 276.02  67.06 348.57  23.06
WIC_2001_0822_09:24:49   61 123  49352  2736  58.24 245.97  65.47 303.01   0.73
WIC_2001_0822_11:29:39  117 162  40414  8648  69.75 162.13  64.11 223.34  21.42
WIC_2001_0822_19:51:41   60 143  48699  3834  68.87  39.83  64.64 119.53  23.19
WIC_2001_0823_01:47:49  107 195  39967  2866  56.13 302.46  63.71  27.56  22.88
WIC_2001_0823_13:57:03  104 134  49157  2058  73.71 140.36  67.75 204.87  22.63
WIC_2001_0824_03:40:24   75 141  50331  2049  62.31 306.13  69.12  34.62   1.19
WIC_2001_0824_08:02:15  108 194  24715  2646  61.99 244.09  68.73 298.51  23.09
WIC_2001_0825_07:09:08   65 138  51520  3368  61.81 253.76  70.33 311.87  23.11
